Geo Point;Geo Shape;gml_id;GID;GEOM_O;IDENT;NUMERO;GROUPE;NUMORDRE;LIBELLE;VEHICULE;SOURCE;TYPE;ACTIF;VOIRIE;INSEE;CDATE;MDATE
44.835791, -0.554363;"{""coordinates"": [-0.554363, 44.835791], ""type"": ""Point""}";SV_ARRET_P.5863;5863;0;B_RIV08_A;631;B_RIV08;1;Rives;BUS;SIG_KEOLIS;CLASSIQUE;0;HS_INTEGRAL;33063;2000-01-28T01:00:00+01:00;2023-10-10T14:02:07+02:00
44.849228, -0.570155;"{""coordinates"": [-0.570155, 44.849228], ""type"": ""Point""}";SV_ARRET_P.3443;3443;0;B_SBCAP_A;15016;B_SBCAP;1;CAPC Musée;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33063;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.835763, -0.55412;"{""coordinates"": [-0.55412, 44.835763], ""type"": ""Point""}";SV_ARRET_P.5864;5864;0;B_RIV08_R;1023;B_RIV08;2;Rives;BUS;SIG_KEOLIS;CLASSIQUE;0;CHAUSSEE_ACCESS;33063;2000-01-28T01:00:00+01:00;2023-10-10T02:00:00+02:00
44.858338, -0.668015;"{""coordinates"": [-0.668015, 44.858338], ""type"": ""Point""}";SV_ARRET_P.3508;3508;0;B_SBROSD;15097;B_SBROSD;1;Haillan Rostand;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33281;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.854848, -0.518069;"{""coordinates"": [-0.518069, 44.854848], ""type"": ""Point""}";SV_ARRET_P.3486;3486;0;B_SBMOR_R;15063;B_SBMOR;2;Morlette;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33119;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.832517, -0.644745;"{""coordinates"": [-0.644745, 44.832517], ""type"": ""Point""}";SV_ARRET_P.3450;3450;0;B_SBQCH_R;15025;B_SBQCH;2;Quatre Chemins;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33281;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.86868, -0.522409;"{""coordinates"": [-0.522409, 44.86868], ""type"": ""Point""}";SV_ARRET_P.3480;3480;0;B_SBIRI_R;15057;B_SBIRI;2;Iris;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33249;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.883268, -0.569608;"{""coordinates"": [-0.569608, 44.883268], ""type"": ""Point""}";SV_ARRET_P.3505;3505;0;B_SBJOU_R;15094;B_SBJOU;2;40 Journaux;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33063;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.941876, -0.485653;"{""coordinates"": [-0.485653, 44.941876], ""type"": ""Point""}";SV_ARRET_P.5884;5884;0;B_GPARAB;10058;B_GPARAB;1;Garage Parabelle;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33003;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.857765, -0.531227;"{""coordinates"": [-0.531227, 44.857765], ""type"": ""Point""}";SV_ARRET_P.3474;3474;0;B_SBCEN_R;15051;B_SBCEN;2;Carnot - Mairie;BUS;SAEIV_BUS;AUTRE;0;AUTRE;33119;2026-05-17T02:00:00+02:00;2026-05-16T05:52:33+02:00
44.853668, -0.593209;"{""coordinates"": [-0.593209, 44.853668], ""type"": ""Point""}";SV_ARRET_P.4037;4037;0;T_BMEDOC_A;8326;T_BMEDOC;1;Barriere Du Medoc;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2019-12-14T01:00:00+01:00;2019-12-14T01:00:00+01:00
44.860739, -0.553157;"{""coordinates"": [-0.553157, 44.860739], ""type"": ""Point""}";SV_ARRET_P.3934;3934;0;T_BASSIN_A;5261;T_BASSIN;1;La Cite Du Vin;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2016-05-18T02:00:00+02:00;2007-07-23T02:00:00+02:00
44.822534, -0.552178;"{""coordinates"": [-0.552178, 44.822534], ""type"": ""Point""}";SV_ARRET_P.3952;3952;0;T_BELCIE_R;5435;T_BELCIE;2;Belcier;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2008-02-27T01:00:00+01:00;2008-02-27T01:00:00+01:00
44.825034, -0.578216;"{""coordinates"": [-0.578216, 44.825034], ""type"": ""Point""}";SV_ARRET_P.3855;3855;0;T_BERGO_A;3749;T_BERGO;1;Bergonie;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2004-07-03T02:00:00+02:00;2004-07-03T02:00:00+02:00
44.825026, -0.578273;"{""coordinates"": [-0.578273, 44.825026], ""type"": ""Point""}";SV_ARRET_P.3856;3856;0;T_BERGO_R;3750;T_BERGO;2;Bergonie;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2004-07-03T02:00:00+02:00;2004-07-03T02:00:00+02:00
44.806019, -0.597996;"{""coordinates"": [-0.597996, 44.806019], ""type"": ""Point""}";SV_ARRET_P.3846;3846;0;T_BETHA_R;3740;T_BETHA;2;Bethanie;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33522;2004-07-03T02:00:00+02:00;2004-07-03T02:00:00+02:00
44.874491, -0.545646;"{""coordinates"": [-0.545646, 44.874491], ""type"": ""Point""}";SV_ARRET_P.3967;3967;0;T_BRAND_A;5532;T_BRAND;1;Brandenburg;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33063;2008-10-20T02:00:00+02:00;2008-10-20T02:00:00+02:00
44.879299, -0.603;"{""coordinates"": [-0.603, 44.879299], ""type"": ""Point""}";SV_ARRET_P.4020;4020;0;T_AUS_A;7713;T_AUS;1;Ausone;TRAM;SAEIV_TRAM;CLASSIQUE;1;QUAI;33075;2016-12-17T01:00:00+01:00;2016-12-17T01:00:00+01:00
